Continent,Country/area,GDP per capita (PPP),,Currency,Currency/USD,,Obesity rate (2016),Smoking rate (2021),,,,,,,,,,,,
Asia,Qatar,"114,648",,QAR,0.274162564,,33.90%,18.58%,,,,,,,,,,,,
Africa,Republic of Congo,"2,649",,CFA,0.00035,,8.40%,11.75%,,,,,,,,,,,,
Europe,Romania,"41,888",,RON,0.219534149,,24.50%,31.42%,,,,,,,,,,,,
Europe,Russia,"36,485",,RUB,0.010309771,,25.70%,29.03%,,,,,,,,,,,,
Africa,Rwanda,"2,792",,RWF,0.000742519,,4.80%,14.87%,,,,,,,,,,,,
Americas,Saint Kitts and Nevis,"34,052",,XCD,0.37,,23.10%,6.07%,,,,,,,,,,,,
Americas,Saint Lucia,"17,756",,XCD,0.37,,19.80%,11.30%,,,,,,,,,,,,
Americas,Saint Vincent and the Grenadines,"9,125",,XCD,0.37,,23.80%,11.82%,,,,,,,,,,,,
Oceania,Samoa,"6,041",,WST,0.357142857,,45.50%,25.81%,,,,,,,,,,,,
Africa,Sao Tome and Principe,"4,738",,STD,4.48797E-05,,10.60%,4.52%,,,,,,,,,,,,
Asia,Saudi Arabia,"59,065",,SAR,0.266329316,,35.00%,14.34%,,,,,,,,,,,,
Africa,Senegal,"4,209",,XOF,0.0016656,,7.40%,7.11%,,,,,,,,,,,,
Europe,Serbia,"23,911",,RSD,0.009327401,,23.50%,36.38%,,,,,,,,,,,,
Africa,Seychelles,"35,228",,SCR,0.075536146,,14.60%,23.84%,,,,,,,,,,,,
Africa,Sierra Leone,"1,931",,SLL,4.76883E-05,,7.50%,15.80%,,,,,,,,,,,,
Asia,Singapore,"127,565",,SGD,0.764271821,,6.60%,13.53%,,,,,,,,,,,,
Europe,Slovakia,"37,459",,EUR,1.092250374,,22.40%,26.67%,,,,,,,,,,,,
Europe,Slovenia,"50,032",,EUR,1.092250374,,22.50%,25.49%,,,,,,,,,,,,
Oceania,Solomon Islands,"2,654",,SBD,0.120745342,,20.50%,35.73%,,,,,,,,,,,,
Africa,Somalia,592,,SOS,0.001749056,,6.90%,11.17%,,,,,,,,,,,,
Africa,South Africa,"15,905",,ZAR,0.056977297,,27.00%,21.98%,,,,,,,,,,,,
Asia,South Korea,"50,070",,KRW,0.00073933,,4.90%,23.21%,,,,,,,,,,,,
Africa,South Sudan,"1,071",,SSP,0.007676954,,6.60%,10.96%,,,,,,,,,,,,
Europe,Spain,"45,825",,EUR,1.092250374,,27.10%,26.38%,,,,,,,,,,,,
Asia,Sri Lanka,"14,405",,LKR,0.003413134,,5.40%,15.04%,,,,,,,,,,,,
Africa,Sudan (former),"17,207",,SDG,0.00166251,,7.40%,10.20%,,,,,,,,,,,,
